식재료명,식품분류,식품이미지URL,음식이미지URL,new_image_url
밴댕이,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A8EEA5D1D131D454C79C0FB0F2B8A463.jpg
뱅어,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A2B805984DCD7FC0C7681AFDA2776EA3.jpg
버찌,과일류,,,https://cdn.pixabay.com/photo/2019/06/16/21/54/cherries-4278792__480.jpg
버터,유지류,,,https://media.istockphoto.com/id/466662934/ko/사진/와플제조기-및-식재료-생지-달걀-버터-우유-밀가루.jpg?s=1024x1024&w=is&k=20&c=qQ03s9UYbkAYUKdBsma4rvCbK9P6aTmDQnP_1f3P8bk=
베이컨,육류,,,https://i.pinimg.com/originals/c3/8d/36/c38d36c07340c2366c4868e563ff3f42.jpg
병어,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_906B3ECBB59A83186D6C1DABB30BD5DB.jpeg
보리,곡류 및 그 제품,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1201-9/978-89-480-1201-9_A_023.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_78A845699CDE6263C662E36C5D5B4D96.jpg
복분자,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_2E0EB9CC5C76582B3F5A0F4065BA38D7.jpg
복숭아,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_79DB457A5AFAA3BFDA422C008101719E.jpg
복어,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_E1205563A9EA0A0DE0E1A0CC21511B3E.jpg
볼락,어패류 및 기타 수산물,,,https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/24205dbf614ce162d4e9195bd0a53e6f1.jpg
부추,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5845-1/978-89-480-5845-1_B_084.jpg,,https://cdn.crowdpic.net/detail-thumb/thumb_d_EC8F2061472C9DA91073EAC539AC29A8.jpg
붕어,어패류 및 기타 수산물,,,https://thumb.photo-ac.com/43/436756c944423992dadd03d2763ac993_t.jpeg
브라질너트,견과 및 종실류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_340E10944CD5D916D0458D5C25CA5250.jpg
브로콜리,채소류,,,https://img.lovepik.com/photo/20211124/medium/lovepik-broccoli-picture_500929777.jpg
블랙베리,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_7BBE1D0DDD33BE3F341CFB45BD7AAD97.jpg
블랙커런트,과일류,,,https://greenew.co.kr/wp-content/uploads/2018/11/블랙커런트1.jpg
블루베리,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_041D326A8B33EC4EBAED2757D7D7E0D0.jpg
비름,채소류,,,https://image.utoimage.com/preview/cp975433/2022/04/202204027610_800.jpg
비지,두류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1254-5/978-89-480-1254-5_A_013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Okara_%28soybean_pulp%29.jpg/250px-Okara_%28soybean_pulp%29.jpg
빵,곡류 및 그 제품,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_BCC43BE462507524387BE99D4C362E0E.jpg
사과,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_C604EDE0E8223ABD0F28DD089E51F032.jpg
살구,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_9584B3745103F77B275A8444E541CCFB.jpg
삼채,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5631-0/978-89-480-5631-0_A_41.jpg,https://cdn.pixabay.com/photo/2016/04/28/10/13/flowers-1358478_1280.jpg
삼치,어패류 및 기타 수산물,,,https://img4.daumcdn.net/thumb/R658x0.q70/?fname=https://t1.daumcdn.net/news/202212/08/shindonga/20221208100117533uzql.jpg
상추,채소류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A9B68F5DD12F4CC825F3F3574D15EF08.jpg
새우,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_075.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_D91229D1E698CC52115F206FD1F2507E.jpg
샐러드 드레싱,조미료류,,,https://recipe1.ezmember.co.kr/cache/recipe/2015/10/04/1830a313d3f0387c69e0acff888cec3d1.jpg
생강,채소류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_57FB342F7DD89C6FD5DF38BBDF1E625D.jpg
서대,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_074.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_B57AAB4E867120950BDD44A16B8AAE58.jpeg
석류,과일류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_A69CA73B930FCDE7317483B9E9B31658.jpg
성게,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_728FD6F8205F36E246B140C692516555.jpg
셀러리,채소류,,,https://img.lovepik.com/photo/20211201/medium/lovepik-celery-picture_501339548.jpg
셔벗,우유류 및 유제품,,,https://partner.yogiyo.co.kr/upload/2022/12/1670392889_37a9f3790d5106a0eba4.jpg
소고기,육류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-5731-7/978-89-480-5731-7_A_035.jpg,https://cdn.crowdpic.net/detail-thumb/thumb_d_5FCBF6A3B576616AD61586D82E37084C.jpg
소금,조미료류,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_16FB7FD1AF5E69C1399841A3F60D545B.jpg
소라,어패류 및 기타 수산물,,,https://cdn.crowdpic.net/detail-thumb/thumb_d_5AA1C899A2ECA1F08F101AE8214690F2.jpg
소시지,육류,,,https://media.istockphoto.com/id/1345571473/ko/사진/식재료-들-사이-도마에-생-소시지.jpg?s=1024x1024&w=is&k=20&c=KITA1OPXD8nTlwuoDbLdgmQsr6g8qPbSkMoH_Fsneo8=
